,name,address
0,경기수원시매탄2동점,경기 수원시 영통구 산남로
1,경기성남시수진점,경기 성남시 수정구 산성대로
2,경기수원시호매실점,경기 수원시 권선구 매실로
3,부산북구덕천점,부산 북구 덕천길
4,전북전주시서곡점,전북 전주시 완산구 서곡1길
5,대구달서구장기점,대구 달서구 구마로
6,경기남양주시오남리점,경기 남양주시 오남읍 진건오남로
7,부산부산진구가야당감점,부산 부산진구 가야대로
8,서울중구을지로점,서울 중구 퇴계로
9,경기고양시고양동점,경기 고양시 덕양구 혜음로
10,충남당진군합덕점,충남 당진시 합덕읍 중동길
11,경북상주시상주2호점,경북 상주시 동수4길
12,서울강북구번동점,서울 강북구 오현로
13,경북구미시옥계점,경북 구미시 산호대로
14,경북경주시금장점,경북 경주시 현곡면 안현로
15,대전동구가오점,대전 동구 은어송로
16,부산북구화명2점,부산 북구 학사로
17,강원원주시혁신도시점,강원 원주시 웅비2길 
18,전남여수시서교점,전남 여수시 서교길
19,충북청주시개신점,충북 청주시 서원구 신율로
20,강원화천군다목리점,강원 화천군 상서면 수피령로
21,경기김포시장기점,경기 김포시 김포한강로
22,경기용인시흥덕지구점(B),경기 용인시 기흥구 흥덕로
23,충북청주시분평점(B),충북 청주시 서원구 1순환로
24,경북영주시영주2점,경북 영주시 구성로
25,경기군포시산본역점(B),경기 군포시 쟁골길
26,대구달성군다사점,대구 달성군 다사읍 대실역북로
27,경기수원시영통1호점,경기 수원시 영통구 매영로
28,경기성남시수내점(B),경기 성남시 분당구 발이봉북로
29,서울송파구위례점,서울 송파구 위례광장로
30,전남진도군진도점,전남 진도군 진도읍 남문길
31,대전서구갈마점,대전 서구 계룡로
32,경남창원시상남점,경남 창원시 성산구 토월로
33,경기안양시호계갈산점,경기 안양시 동안구
34,강원속초시교동점,강원 속초시 동해대로
35,부산남구대연점,부산 남구 유엔로
36,충남서천군서천점(B),충남 서천군 서천읍 서천로
37,대구수성구범물점,대구 수성구 지범로
38,경남김해시외동점,경남 김해시 함박로
39,광주남구진월점,광주 남구 서문대로
40,경북포항시양덕점,경북 포항시 북구 양덕로
41,"
",전남여수시둔덕점
42,"
",경기포천시내촌점
43,경기고양시화정2점,경기도 고양시 덕양구 화정로
44,대전유성구봉명구암점,대전 유성구 대학로
45,경북포항시연일점,경북 포항시 남구 연일읍 철강로
46,경남양산시북정점,경남 양산시 북정중앙로
47,부산연제구연산로타리점,부산 연제구 거제천로
48,광주남구효천점,광주 남구 효우로
49,충남천안시두정대아점,충남 천안시 서북구 두정중길
50,부산연제구시청점,부산 연제구 중앙대로
51,전남보성군벌교점,전남 보성군 벌교읍 채동선로
52,경기화성시동탄역점,경기 화성시 동탄대로
53,충남천안시입장점,충남 천안시 서북구 입장면 입장로
54,전남순천시삼산점,전남 순천시 중앙로
55,충남아산시배방점,충남 아산시 배방읍 배방로
56,대전유성구원내점,대전 유성구 진잠로
57,전북익산시신동남중점,전북 익산시 익산대로
58,전북전주시진북인후점,전북 전주시 덕진구 팔달로
59,부산해운대구우1점,부산 해운대구 해운대해변로
60,서울중구신당2점,서울 중구 청구로
61,경기용인시수지2지구점,경기 용인시 수지구 정평로
62,서울성동구성수2가점,서울 성동구 성덕정길
63,강원원주시명륜점,강원 원주시 남산로
64,"
",경기양평군용두리점
65,충남천안시신부점,충남 천안시 동남구 천안천길
66,서울성동구금호점,서울 성동구 독서당로
67,경남거제시상동점,경남 거제시 거제중앙로
68,전남화순군화순점,전남 화순군 화순읍 만연로
69,경남함안군군북점,경남 함안군 군북면 중암길
70,전남나주시영산포점,전남 나주시 남교길
71,광주북구첨단2지구점,광주 북구 임방울대로
72,경북울진군후포점,경북 울진군 후포면 삼율길
73,세종시아름동아름점,세종 보듬로
74,경기고양시주교점,경기 고양시 덕양구 원당로
75,경기용인시죽전2호점,경기 용인시 수지구 죽전로
76,경남마산시호계점,경남 창원시 마산회원구 내서읍 호원로
77,경북의성군의성점,경북 의성군 의성읍 동서1길
78,경기용인시강남대점,경기 용인 기흥구 강남동로
79,경남합천군합천점,경남 합천군 합천읍 충효로
80,경기구리시인창점,경기 구리시 건원대로
81,서울강서구화곡본동점,서울 강서구 초록마을로
82,경남진주시신안점,경남 진주시 진양호로
83,경기수원시정자2동점,경기 수원시 장안구 수성로
84,"
",제주제주시외도점
85,광주서구쌍촌1점,광주 서구 상일로
86,충북증평군증평점,충북 증평군 증평읍 충청대로
87,"
",충북단양군단양점
88,서울동작구상도1점,서울 동작구 상도로
89,경기구리시수택점,경기 구리시 원수택로
90,서울관악구난곡점,서울 관악구 미성길
91,경기여주시가남점,경기 여주군 가남면 경충대로
92,서울중랑구면목1동점,서울 중랑구 사가정로
93,충남당진시송악점,충남 당진시 송악읍 도고머리길
94,전남여수시무선지구점,전남 여수시 무선길
95,서울강북구미아점,서울 강북구 삼양로
96,부산사하구괴정1점,부산 사하구 장평로
97,서울송파구잠실새내역점,서울 송파구 올림픽로
98,서울동대문구청량리점,서울 동대문구 홍릉로
99,경기파주시봉일천점,경기 파주시 조리읍 송비말길
100,부산사상구주례점,부산 사상구 주례로
101,경기평택시소사벌점,경기 평택시 비전6길
102,대구달서구성당점(B),대구 달서구 감삼남길 
103,인천연수구송도신도시점,인천 연수구 해돋이로
104,강원강릉시사천해변점,강원 강릉시 사천면 진리해변길
105,강원동해시천곡점,강원 동해시 한섬로
106,인천부평구부평남부점,인천 부평구 남부역로
107,경기평택시용이지구점,경기 평택시 현신로
108,서울구로구개봉점(B),서울 구로구 개봉로
109,경기평택시팽성점(B),경기 평택시 팽성읍 팽성대교길
110,부산금정구남산점,부산 금정구 중앙대로
111,경남창원시합성1호점(C),경남 창원시 마산회원구 합성옛길
112,서울서대문구북가좌2점,서울 서대문구 증가로
113,대전유성구노은점,대전 유성구 반석로
114,제주서귀포시남원점,제주 서귀포시 남원읍 남원체육관로 
115,서울광진구자양점,서울 광진구 능동로
116,경남진주시도동점,경남 진주시 대신로
117,서울마포구공덕점,서울 마포구 만리재로
118,경남거제시장평점,경남 거제시 장평로
119,경기안산시초지점,경기 안산시 단원구 초지로
120,경기화성시팔탄점,경기 화성시 팔탄면 구장길
121,충남서산시동문점,충남 서산시 율지8로
122,경기성남시정자2호점,경기 성남시 분당구 정자로
123,경기수원시곡반정점,경기 수원시 권선구 곡선로
124,서울서초구양재점,서울 서초구 동산로
125,경북구미시상모사곡점,경북 구미시 상사서로
126,세종시대평동보람점,세종특별자치시 시청대로
127,부산해운대구반여2점,부산 해운대구 선수촌로
128,서울강동구천호2동점,서울 강동구 올림픽로
129,강원속초시조양점,강원 속초시 동해대로
130,서울강서구수명산파크점,서울 강서구 강서로
131,경남진주시금산점,경남 진주시 금산면 금산로
132,경남밀양시내일점,경남 밀양시 약산로
133,전북전주시중화산점,전북 전주시 완산구 메너머길
134,충북청주시봉명점,충북 청주시 흥덕구 백봉로
135,"
",경기연천군연천점
136,인천중구월미점,인천 중구 월미로
137,경기시흥시신천점(B),경기 시흥시 신천로
138,전남순천시신대점,전남 해룡면 좌야로
139,제주제주시용담점,제주 제주시 용문로
140,대구서구평리점,대구 서구 국채보상로
141,서울송파구삼전점,서울 송파구 삼전로6길
142,서울노원구중계2동점,서울 노원구 동일로
143,경북안동시용상점,경북 안동시 경동로
144,서울송파구가락점,서울 송파구 문정로
145,"
",서울도봉구방학2점
146,강원원주시단계점,강원 원주시 원문로
147,경기광명시광명시장점,경기 광명시 광이로
148,경기수원시화서점,경기 수원시 팔달구 팔달로
149,충남아산시신창점,충남 아산시 서부북로
150,경기수원시신매탄점,경기 수원시 영통구 매탄로
151,부산부산진구초읍연지점,부산 부산진구 성지로
152,경북김천시덕곡율곡점,경북 김천시 영남대로
153,충남논산시논산1점(B),충남 논산시 시민로
154,대전동구가양비래점,대전 동구 우암로
155,서울강서구등촌2동점,서울 강서구 등촌로
156,충북청주시오송점,충북 청주시 흥덕구 오송읍 연제길
157,서울금천구금천점,서울 금천구 은행나무로
158,대전서구탄방점,대전 서구 문정로
159,서울중랑구신내1점,서울 중랑구 신내로
160,경북청도군청도점,경북 청도군 청도읍 청화로
161,서울관악구신림2점,서울 관악구 신림로
162,경북경주시충효점,경북 경주시 충효녹지길
163,울산북구강동점,울산 북구 산하중앙2로
164,경기성남시서판교점,경기 성남시 분당구 판교로
165,경기안산시선부1점,경기 안산시 단원구 화정천서로
166,충남아산시영인점,충남 아산시 영인면 영인로
167,부산동래구안락1점,부산 동래구 연안로
168,울산남구무거2호점,울산 남구 삼호로
169,"
",경남창원시동읍점
170,부산영도구청학점,부산 영도구 태종로
171,경기포천시운천점,경기 포천시 영북면 운천로
172,대전서구도마점,대전 서구 사마길
173,충남천안시신방초원점,충남 천안시 동남구 수곡로
174,서울강남구신사점,서울 강남구 논현로
175,경북울진군울진점,경북 울진군 울진읍 울진중앙로
176,충남아산시장재점,충남 아산시 배방읍 새아산로
177,경기양주시장흥점,경기 양주시 장흥면 호국로
178,"
",강원원주시문막점
179,서울강북구수유점,서울 강북구 삼양로
180,경기시흥시연성2지구점,경기 시흥시 장곡로
181,경남창녕군남지점,경남 창녕군 난지읍 남지중앙2길
182,경기부천시상동점,경기 부천시 원미구 조마루로
183,경기안산시본오1호점,경기 안산시 상록구 반석로
184,경기남양주시수동점,경기 남양주시 수동면 비룡로
185,서울강서구염창점,서울 강서구 양천로
186,서울용산구숙대점,서울 용산구 청파로
187,"
",경기가평군북면점
188,경기의정부시가능3점,경기 의정부시 호국로
189,울산북구호계점,울산 북구 동대길
190,부산사하구다대2점,부산 사하구 다대로
191,경기시흥시시화점,경기 시흥시 중심상가로
192,충남천안시구성점,충남 천안시 동남구 삼룡천길
193,경기이천시관고동점,경기 이천시 영창로
194,"
",인천옹진군백령점
195,부산동래구온천3동점,부산 동래구 충렬대로
196,대구달성군논공점,대구 달성군 논공읍 논공중앙로
197,전남순천시남제점,전남 순천시 우석로
198,인천부평구삼산1동점,인천 부평구 대보로
199,대구달서구신월배점,대구 달서구 조암남로
200,경북포항시우현점,경북 포항시 북구 선착로
201,경북포항시해도점(B),경북 포항시 남구 해동로
202,경기안양시호계2호점,경기 안양시 동안구 전파로
203,전북부안읍부안점,전북 부안군 부안읍 수정길
204,대전유성구궁동어은점(B),대전 유성구 농대로
205,충북음성군맹동혁신도시점,충북 음성군 대하로
206,부산부산진구당감부암1점,부산 부산진구 백양순환로
207,대전중구문화점,대전 중구 보문산로
208,경기파주시운정1점,경기 파주시 와석순환로
209,경기광주시곤지암점,경기 광주시 곤지암읍 평촌길
210,전남여수시안산점,전남 여수시 도원로
211,인천서구마전점,인천 서구 검단로
212,경남창원시봉곡점,경남 창원시 의창구 봉곡로
213,부산금정구부곡1점,부산 금정구 중앙대로
214,대구달서구상인점,대구 달서구 상인로
215,"
",강원인제군서화점(B)
216,강원속초시금호점,강원 속초시 미시령로
217,경기용인시신봉점,경기 용인시 수지구 신봉로
218,경북울진군죽변점,경북 울진군 죽변면 죽변북로
219,"
",경기남양주시퇴계원점
220,전북군산시군산대점,전북 군산시 미제길
221,경남거제시옥포점,경남 거제시 옥포대첩로
222,서울구로구고척1점,서울 구로구 경서로
223,서울노원구하계1점,서울 노원구 공릉로
224,서울중랑구중화점,서울 중랑구 동일로
225,경기안양시안양2호점,경기 안양시 만안구 냉천로
226,서울금천구시흥2점,서울 금천구 금하로
227,경북구미시봉곡도량점,경북 구미시 도봉로
228,경남진주시상대점,경남 진주시 돗골로
229,경남마산시해운점,경남 창원시 마산합포구 월영동길
230,경북경주시강동점,경북 경주시 강동면 동해대로
231,서울광진구중곡1점,서울 광진구 면목로
232,울산울주군구영점,울산 울주군 범서읍 대리길
233,경남창원시석전점,경남 창원시 마산회원구 석전남8길
234,부산북구구포1점,부산 북구 시랑로
235,"
",강원철원군자등리점
236,울산동구방어점,울산 동구 화잠길
237,경기용인시신갈점,경기 용인시 기흥구 용구대로
238,경기안성시동아방송대점,경기 안성시 삼죽면 동아예대길
239,경기화성시병점1호점,경기 화성시 경기대로
240,강원양구군방산점,강원 양구군 방산면 장거리길
241,인천연수구선학점,인천 연수구 선학로
242,경기연천군군남점,경기 연천군 군남면 군왕로
243,서울은평구녹번점,서울 은평구 은평로
244,인천계양구계산점,인천 계양구 용마루길
245,경기수원시광교1호점,경기 수원시 영통구 법조로
246,경북경주시성건점,경북 경주시 금성로
247,경기화성시동탄1호점,경기 화성시 동탄반송3길
248,대전유성구전민점,대전 유성구 전민로
249,경기용인시상현점,경기 용인시 수지구 만현로
250,부산수영구망미점,부산 수영구 연수로
251,경기오산시세교신도시점,경기 오산시 오산대역로
252,대전동구용운판암점,대전 동구 동부로
253,전북군산시오식도점,전북 군산시 가도로
254,경기동두천시생연점,경기 동두천시 삼육사로
255,서울영등포구대림점(B),서울 영등포구 디지털로
256,경기부천시역곡점,경기 부천시 원미구 역곡로
257,서울관악구인헌점,서울 관악구 인헌길
258,강원평창군대관령점,강원 평창군 대관령면 경강로 
259,경북영천시야사점,경북 영천시 망정로
260,전남여수시신기점,전남 여수시 새터로
261,광주북구용봉점,광주 북구 설죽로
262,경남창원시대방점,경남 창원시 성산구 대암로
263,경기화성시동탄2호점,경기 화성시 동탄반석로
264,경기안양시안양1호점,경기 안양시 만안구 냉천로
265,대구동구동호점,대구 동구 동호로
266,경기남양주시덕소점(B),경기 남양주시 와부읍 덕소로
267,서울노원구중계4동점,서울 노원구 덕릉로
268,서울영등포구영등포푸르지오점,서울 영등포구 양산로
269,제주제주시노형점,제주 제주시 원노형로
270,서울서초구반포1점,서울 서초구 반포대로
271,대구달서구대곡진천점(B),대구 달서구 한실로
272,부산해운대구해운대신도시1호점,부산 해운대구 달맞이길
273,경기고양시성사점,경기 고양시 덕양구 마상로
274,강원양양군하조대점,강원 양양군 현북면 조준길
275,서울중랑구상봉1점,서울 중랑구 신내로
276,경기고양시풍동점,경기 고양시 일산동구 숲속마을로
277,경기남양주시월산점,경기 남양주시 화도읍 경춘로
278,대구수성구상동점,대구 수성구 수성로
279,경남김해시율하1점,경남 김해시 율하로
280,강원홍천군대명비발디점,강원 홍천군 서면 한치골길
281,충북충주시충주2점,충북 충주시 형설로
282,광주광산구송정1점,광주 광산구 남동길
283,광주서구동천점,광주 서구 동천로
284,울산중구다운점,울산 중구 다운로
285,"
",경기김포시김포1호점
286,경기이천시갈산점,경기 이천시 영창로
287,경남진해시석동점,경남 창원시 진해구 진해대로
288,서울노원구상계마들점,서울 노원구 한글비석로
289,인천서구석남점,인천 서구 면개포로
290,"
",충북음성군대소점
291,전북전주시덕진전북대점,전북 전주시 덕진구 명륜길
292,경기파주시적성점,경기 파주시 적성면 청송로
293,광주북구문흥점,광주 북구 면앙로
294,서울강북구수유2점,서울 강북구 삼각산로
295,서울서초구우면점,서울 서초구 형촌길
296,전북군산시나운2점,전북 군산시 나운안길
297,대구달성군서재점,대구 달성군 다사읍 서재로
298,서울노원구상계중앙점,서울 노원구 동일로
299,서울강동구천호1점,서울 강동구 구천면로
300,충남천안시불당점,충남 천안시 서북구 불당길
301,경기화성시향남1지구점,경기 화성시 향남읍 행정서로2길
302,대구달서구이월드점,대구 달서구 두류공원로
303,광주남구방림양림점,광주 남구 방림로
304,경북경주시내남점,경북 경주시 이조중앙길
305,대구북구고성동점,대구 북구 옥산로
306,경기의정부시망월사역점,경기 의정부시 평화로
307,"
",경기용인시양지점
308,경기안산시신길지구점,경기 안산시 단원구 도일로
309,부산수영구광안1점,부산 수영구 광안로
310,서울강서구방화2점,서울 강서구 금낭화로
311,서울강서구방화1점,서울 강서구 양천로
312,광주북구두암1점,광주 북구 삼정로
313,광주서구화정1점,광주 서구 염화로
314,경기군포시금정점,경기 군포시 당산로
315,서울강남구대치점,서울 강남구 삼성로
316,대전서구만년점,대전 서구 만년남로
317,경기동두천시중앙점,경기 동두천시 동광로
318,경기안산시와동점,경기 안산시 단원구 선부로
319,경남진주시중앙상봉점,경남 진주시 진주성로
320,인천부평구부평중앙점,인천 부평구 장제로
321,서울성북구정릉점,서울 성북구 보국문로
322,충남당진시당진2점,충남 당진시 원당로
323,경남거제시지세포점,경남 거제시 일운면 거제대로
324,서울종로구독립문점,서울 종로구 통일로
325,경기수원시화서꽃뫼점(B),경기 수원시 팔달구 일월로
326,경기수원시인계중앙점,경기 수원시 팔달구 권광로
327,대구달성군옥포점,대구 달성군 돌미로2길
328,경기성남시야탑점,경기 성남시 분당구 매화로
329,대구수성구지산점,대구 수성구 용학로
330,서울송파구송파방이2점,서울 송파구 가락로
331,경기남양주시도농점,경기 남양주시 미금로
332,"
",경남거제시아주점
333,강원동해시효가점,강원 동해시 동해대로
334,경남창원시내서삼계점,경남 창원시 마산회원구 내서읍 삼계숲길
335,충남태안군안면점,충남 태안군 안면읍 장터로
336,부산강서구명지오션시티점,부산 강서구 명지오션시티로
337,강원강릉시홍제점,강원 강릉시 홍제로
338,경남양산시남부점,경남 양산시 중앙로
339,경기안성시공도2점,경기 안성시 공도읍 공도3로
340,서울성북구월곡점,서울 성북구 오패산로
341,충북진천군덕산점(B),충북 진천군 덕산면 용몽길
342,대구남구대명2점,대구 남구 성당시장길
343,대구남구대명남산점,대구 남구 명덕로
344,광주광산구운남점,광주 광산구 월곡중앙로
345,대구동구방촌점,대구 동구 동촌로
346,"
",서울양천구신월1동점
347,경기여주시오학점,경기 여주시 학동 1길
348,경기남양주시천마산점,경기 남양주시 화도읍 먹갓로
349,경기하남시미사1점,경기도 하남시 미사강변한강로
350,서울도봉구방학1점,서울 도봉구 도당로
351,서울강서구화곡남부시장점,서울 강서구 곰달래로
352,인천서구가좌점,인천 서구 여우재로
353,충남천안시직산점,충남 천안시 서북구 직산읍 아랫말길
354,강원평창군봉평점,강원 평창군 봉평면 태기로
355,충남금산군금산점(B),충남 금산군 금산읍 금산로
356,충북충주시수안보점,충북 충주시 수안보면 온천중앙길
357,충남천안시두정1점,충남 천안시 서북구 부성길
358,충북제천시제천1점,충북 제천시 숭문로
359,경기의정부시호원점,경기 의정부시 평화로
360,광주광산구수완1점,광주 광산구 장덕로
361,서울성북구종암점(B),서울 성북구 종암로
362,경기안산시선부1동점,경기 안산시 단원구 선부광장서로
363,부산기장군정관점,부산 기장군 정관면 구연로
364,부산동래구수민점,부산 동래구 명륜로
365,서울종로구창신점(B),서울 종로구 지봉로
366,경기김포시고촌점,경기 김포시 고촌읍 은행영사정로
367,서울구로구구로1점,서울 구로구 구로동로
368,"
",경북고령군고령점
369,부산사상구괘법감전점(B),부산 사상구 운산로
370,부산사하구신평점,부산 사하구 다대로142번길
371,전북완주군봉동3공단점,전북 완주군 봉동읍 원둔산길
372,경남진주시판문점,경남 진주시 진양호로
373,광주남구주월점,광주 남구 회서로
374,충남예산군예산점,충남 예산군 예산읍 역전로
375,충북청주시산남3지구성화점,충북 청주시 서원구 원흥로
376,경기평택시청북점,경기 평택시 청북면 안청로
377,대구수성구시지1점,대구 수성구 달구벌대로
378,강원강릉시솔올점,강원 강릉시 원대로
379,서울강남구도곡점,서울 강남구 도곡로
